荣国府, 起点
大门, 
甬路, 
大厅, 
贾氏宗祠, 
二门, 
贾氏家塾, 宝玉谒师余者罚回本位| 宝玉谒师，除宝玉外其他人要罚回本位
宜门, 
大堂, 此处不得住退回本位
正房, 
贾政, 请安停一轮
王夫人, 请安停一轮
金钏, 问好宝玉三倍受罚| 都要问好，宝玉还要三倍受罚
玉钏, 问好宝玉罚回本位| 都要问好，宝玉还要罚回本位
东厢房, 
周姨娘, 问好
西厢房, 
赵姨娘, 问好宝玉凤姐三倍受罚| 都要问好，宝玉、凤姐还要三倍受罚
贾环, 问好宝玉凤姐受罚| 宝玉、凤姐要受罚，其他人要问好
上房, 
贾母, 请安随意呼点应者方行不应者罚| 都要请安，都要随意呼点应者方行不应者罚
鸳鸯, 问好凤姐停一轮宝玉问好罚回本位| 凤姐要停一轮，其他人要问好，宝玉还要罚回本位
琥珀, 问好
偏院, 
贾琏, 问好凤姐受贺遇四方行不遇者罚| 都要问好，凤姐还要受贺，凤姐还要遇四方行不遇者罚
平姑娘, 问好凤姐免| 除凤姐外其他人要问好
尤二姐, 问好凤姐三倍受罚| 凤姐要三倍受罚，其他人要问好
巧姐, 问好凤姐受贺停一轮| 凤姐受贺停一轮，其他人要问好
小红, 问好凤姐免| 除凤姐外其他人要问好
群房, 
彩云, 问好宝玉受罚| 都要问好，宝玉还要受罚
彩霞, 问好
傻大姐, 至此不停照点速行黛玉至此随意呼点不应者罚| 黛玉要随意呼点不应者罚
后院, 
赖大家, 问好
周瑞家, 问好
刘姥姥, ？？妙玉受罚| 妙玉受罚
板儿, 糖钱
柳二家, 问好
鲍二家, 凤姐加倍受罚
后门, 
宁国府, 
贾赦, 请安停一轮妙玉香菱请安不停| 都要请安，除妙玉、香菱外其他人要停一轮
邢夫人, 请安停一轮
贾珍, 请安
尤氏, 问好
尤老娘, 请安
尤三姐, 问好宝玉问好并受罚| 都要问好，宝玉还要受罚
贾蓉, 问好凤姐加倍受罚| 都要问好，凤姐还要加倍受罚
秦可卿, 问好凤姐停一轮宝玉加倍受罚| 都要问好，凤姐还要停一轮，宝玉还要加倍受罚
梨香院, 
文官, 赏赐
龄官, 赏赐
芳官, 赏赐
藕官, 赏赐
蕊官, 赏赐
药官, 赏赐
葵官, 赏赐
艾官, 赏赐
豆官, 赏赐
角门, 
薛姨妈, 请安宝玉香菱停一轮宝钗遇二方行不遇者罚| 都要请安， 宝玉、香菱还要停一轮，宝钗还要遇二方行不遇者罚
薛蟠, 问好妙玉免香菱受贺遇六方行不遇者罚| 除妙玉外其他人要问好，香菱还要受贺，香菱还要遇六方行不遇者罚
夏金桂, 问好香菱请安随意呼点应者方行不应者罚| 都要问好，香菱还要请安，香菱还要随意呼点应者方行不应者罚
宝蟾, 问好香菱三倍受罚黛玉妙玉免问好| 除黛玉、妙玉外其他人要问好，香菱还要三倍受罚
薛蝌, 问好妙玉免| 除妙玉外其他人要问好
邢岫烟, 问好
大观园, 至此举贺
小终南, 拈香至此等香菱过去或来至此山方准游大荒山自青埂峰入由天台出顺路前行如香菱已过去后至者罚至大主山一游城隍庙| 拈香，至此等香菱过去，或来至此山，方准游大荒山，自青埂峰入，由天台出，顺路前行，如香菱已过去，后至者罚，至大主山一游城隍庙
大荒山, 拈香
青埂峰, 拈香
空洞, 拈香
茫茫大士, 宝玉谒师宝钗受罚余免| 宝玉谒师，宝钗受罚
渺渺真人, 宝玉谒师停一轮宝钗受罚余者免| 宝玉停一轮，宝钗受罚
松鹤童子, 宝玉问好余者罚回| 宝玉要问好，除宝玉外其他人要罚回本位
甄士隐, 香菱请安受贺随意呼点应者方行不应者罚余免| 香菱要请安，香菱还要随意呼点应者方行不应者罚
女仙, 问好宝玉受贺妙玉停一轮| 都要问好，宝玉还要受贺，妙玉还要停一轮
曹雪芹, 
悼红轩, 长河雇船照点速行
楼, 
天台, 举贺
曲径通幽, 至此举贺
沁芳亭, 停一轮
沁芳桥, 捐资
采莲舟, 举贺照点速行
省亲别墅, 
昭容, 问好
內监, 凤姐问好
